HTime,HThrottle,HBrake,HDRS,HRPM,HSpeed,HnGear,HLapPercentage
2021-09-05 00:00:35.088 +0000 UTC,12,0,8,8217,136,4,0.5279014304004515
2021-09-05 00:00:35.155 +0000 UTC,14,0,8,8172,133,4,0.5284761665706103
2021-09-05 00:00:35.356 +0000 UTC,16,0,8,8127,131,4,0.5301639208131138
2021-09-05 00:00:35.368 +0000 UTC,18,0,8,8082,129,4,0.5302650905006322
2021-09-05 00:00:35.576 +0000 UTC,33,0,8,8196,129,4,0.5320330408000091
2021-09-05 00:00:35.608 +0000 UTC,48,0,8,8310,130,4,0.5323067902549411
2021-09-05 00:00:35.796 +0000 UTC,49,0,8,8414,131,4,0.5339252246003927
2021-09-05 00:00:35.848 +0000 UTC,50,0,8,8518,132,4,0.5343799007747009
2021-09-05 00:00:36.015 +0000 UTC,59,0,8,8651,134,4,0.5358673726666521
2021-09-05 00:00:36.088 +0000 UTC,69,0,8,8785,137,4,0.536531538208088
2021-09-05 00:00:36.235 +0000 UTC,77,0,8,9099,140,4,0.53789652987632
2021-09-05 00:00:36.328 +0000 UTC,85,0,8,9414,144,4,0.5387931133205531
2021-09-05 00:00:36.455 +0000 UTC,90,0,8,9740,150,4,0.5400712959041063
2021-09-05 00:00:36.568 +0000 UTC,96,0,8,10067,156,4,0.5412431530257239
2021-09-05 00:00:36.675 +0000 UTC,98,0,8,10370,160,4,0.5423690134361633
2021-09-05 00:00:36.848 +0000 UTC,100,0,8,10673,164,4,0.5442481162538606
2021-09-05 00:00:36.895 +0000 UTC,100,0,8,10747,170,4,0.5447787583836048
2021-09-05 00:00:37.088 +0000 UTC,100,0,8,10822,177,4,0.5470279689962658
2021-09-05 00:00:37.115 +0000 UTC,100,0,8,11228,180,4,0.5473465670288379
2021-09-05 00:00:37.328 +0000 UTC,100,0,8,11635,183,4,0.5499020540350239
2021-09-05 00:00:37.335 +0000 UTC,100,0,8,11825,186,4,0.5499883200344169
2021-09-05 00:00:37.555 +0000 UTC,100,0,8,12016,190,4,0.5527798133806653
2021-09-05 00:00:37.568 +0000 UTC,100,0,8,12207,194,4,0.5529488982837618
2021-09-05 00:00:37.775 +0000 UTC,100,0,8,11902,198,4,0.5556924056864567
2021-09-05 00:00:37.848 +0000 UTC,100,0,8,11598,203,4,0.5566684564259066
2021-09-05 00:00:37.995 +0000 UTC,100,0,8,11415,204,4,0.5586342592981013
2021-09-05 00:00:38.088 +0000 UTC,100,0,8,11233,205,5,0.5598880598846246
2021-09-05 00:00:38.215 +0000 UTC,100,0,8,11349,207,5,0.5616217881245189
2021-09-05 00:00:38.328 +0000 UTC,100,0,8,11466,210,5,0.5631861902569698
2021-09-05 00:00:38.435 +0000 UTC,100,0,8,11567,213,5,0.5646871093576236
2021-09-05 00:00:38.568 +0000 UTC,100,0,8,11668,216,5,0.5665785529256677
2021-09-05 00:00:38.655 +0000 UTC,74,50,8,11435,216,5,0.567830741531107
2021-09-05 00:00:38.808 +0000 UTC,48,100,8,11202,217,5,0.569986620977091
2021-09-05 00:00:38.875 +0000 UTC,36,100,8,10947,204,5,0.5708680118858331
2021-09-05 00:00:39.048 +0000 UTC,25,100,8,10693,192,5,0.573002054460378
2021-09-05 00:00:39.095 +0000 UTC,20,100,8,10147,185,5,0.5735638799070292
2021-09-05 00:00:39.287 +0000 UTC,16,100,8,9601,178,5,0.5757859644266539
2021-09-05 00:00:39.315 +0000 UTC,18,100,8,9789,172,5,0.5760994233945065
2021-09-05 00:00:39.527 +0000 UTC,20,100,8,9977,166,4,0.5783930579590791
2021-09-05 00:00:39.535 +0000 UTC,21,100,8,9731,163,4,0.5784774589959161
2021-09-05 00:00:39.755 +0000 UTC,22,100,8,9485,160,4,0.5807392020458889
2021-09-05 00:00:39.767 +0000 UTC,23,100,8,9240,157,4,0.5808588030469753
2021-09-05 00:00:39.975 +0000 UTC,23,100,8,9132,152,4,0.5828681004929779
2021-09-05 00:00:40.007 +0000 UTC,23,100,8,9024,147,4,0.5831674943076169
2021-09-05 00:00:40.195 +0000 UTC,22,100,8,8697,143,4,0.5848819339406167
2021-09-05 00:00:40.247 +0000 UTC,21,100,8,8370,139,4,0.5853505425064549
2021-09-05 00:00:40.415 +0000 UTC,19,50,8,8274,137,4,0.5868577176484937
2021-09-05 00:00:40.487 +0000 UTC,18,0,8,8179,136,4,0.5874864745571166
2021-09-05 00:00:40.635 +0000 UTC,28,0,8,8163,132,4,0.5887317526907021
2021-09-05 00:00:40.727 +0000 UTC,38,0,8,8147,128,4,0.5894967635459746
2021-09-05 00:00:40.855 +0000 UTC,44,0,8,8219,128,4,0.5905707662357578
2021-09-05 00:00:40.928 +0000 UTC,51,0,8,8291,129,4,0.5911935338321757
2021-09-05 00:00:41.075 +0000 UTC,53,0,8,8459,131,4,0.5924772896329485
2021-09-05 00:00:41.168 +0000 UTC,56,0,8,8627,134,4,0.5932980551173863
2021-09-05 00:00:41.295 +0000 UTC,62,0,8,8770,135,4,0.5944190118866665
2021-09-05 00:00:41.408 +0000 UTC,69,0,8,8914,136,4,0.595433987168048
2021-09-05 00:00:41.515 +0000 UTC,73,0,8,9109,139,4,0.5964239465533436
2021-09-05 00:00:41.648 +0000 UTC,78,0,8,9305,143,4,0.5976798568977877
2021-09-05 00:00:41.735 +0000 UTC,81,0,8,9672,145,4,0.5985066808575
2021-09-05 00:00:41.888 +0000 UTC,85,0,8,10040,147,4,0.5999885481584294
2021-09-05 00:00:41.936 +0000 UTC,88,0,8,10257,152,4,0.6004675929122791
2021-09-05 00:00:42.128 +0000 UTC,92,0,8,10475,158,4,0.602469998629051
2021-09-05 00:00:42.156 +0000 UTC,91,0,8,10703,166,4,0.6027775609927405
2021-09-05 00:00:42.368 +0000 UTC,91,0,8,10931,174,4,0.6052027352232798
2021-09-05 00:00:42.376 +0000 UTC,94,0,8,11115,175,4,0.6052950239877266
2021-09-05 00:00:42.595 +0000 UTC,97,0,8,11300,176,4,0.6078425132006676
2021-09-05 00:00:42.608 +0000 UTC,100,0,8,11485,178,4,0.6079982933484105
2021-09-05 00:00:42.815 +0000 UTC,100,0,8,11757,184,4,0.610563162817442
2021-09-05 00:00:42.848 +0000 UTC,100,0,8,12030,190,4,0.6109823160662468
2021-09-05 00:00:43.035 +0000 UTC,100,0,8,12138,194,4,0.6133972776583476
2021-09-05 00:00:43.088 +0000 UTC,100,0,8,12246,198,4,0.6140919818458864
2021-09-05 00:00:43.255 +0000 UTC,100,0,8,11966,201,4,0.6163084044255103
2021-09-05 00:00:43.328 +0000 UTC,100,0,8,11686,204,5,0.6172958799218788
2021-09-05 00:00:43.475 +0000 UTC,100,0,8,11797,208,5,0.6193252385777226
2021-09-05 00:00:43.568 +0000 UTC,100,0,14,11908,213,5,0.6206411264424004
2021-09-05 00:00:43.695 +0000 UTC,100,0,14,12044,218,5,0.6224815353397222
2021-09-05 00:00:43.808 +0000 UTC,100,0,12,12181,224,5,0.6241591321729019
2021-09-05 00:00:43.915 +0000 UTC,100,0,12,11489,228,5,0.6257807736201364
2021-09-05 00:00:44.048 +0000 UTC,100,0,12,10798,233,5,0.6278184863479325
2021-09-05 00:00:44.135 +0000 UTC,100,0,12,11033,234,5,0.6291480965959643
2021-09-05 00:00:44.288 +0000 UTC,100,0,12,11269,235,6,0.6315092512884141
2021-09-05 00:00:44.355 +0000 UTC,100,0,12,11300,240,6,0.6325698219643597
2021-09-05 00:00:44.568 +0000 UTC,100,0,12,11332,246,6,0.6360166961306192
2021-09-05 00:00:44.575 +0000 UTC,100,0,12,11498,247,6,0.6361303165999953
2021-09-05 00:00:44.795 +0000 UTC,100,0,12,11664,248,6,0.6397133231177156
2021-09-05 00:00:44.808 +0000 UTC,100,0,12,11831,249,6,0.6399273364292568
2021-09-05 00:00:45.015 +0000 UTC,100,0,12,11907,252,6,0.6433770113581945
2021-09-05 00:00:45.048 +0000 UTC,100,0,12,11983,255,6,0.6439322090242474
2021-09-05 00:00:45.235 +0000 UTC,100,0,12,11423,257,6,0.647098490157278
2021-09-05 00:00:45.288 +0000 UTC,100,0,12,10863,259,7,0.6479999031501399
2021-09-05 00:00:45.455 +0000 UTC,100,0,12,10840,260,7,0.6508508781575812
2021-09-05 00:00:45.528 +0000 UTC,100,0,12,10818,262,7,0.6521147134242086
2021-09-05 00:00:45.675 +0000 UTC,100,0,12,10898,266,7,0.6547052691634245
2021-09-05 00:00:45.768 +0000 UTC,100,0,12,10979,270,7,0.6563551667600809
2021-09-05 00:00:45.895 +0000 UTC,100,0,12,11040,270,7,0.6586036313479292
2021-09-05 00:00:46.007 +0000 UTC,100,0,12,11102,271,7,0.660593591484018
2021-09-05 00:00:46.115 +0000 UTC,100,0,12,11197,273,7,0.6625278348957959
2021-09-05 00:00:46.287 +0000 UTC,100,0,12,11293,275,7,0.6656324017751009
2021-09-05 00:00:46.335 +0000 UTC,100,0,12,11313,276,7,0.6665019389974091
2021-09-05 00:00:46.527 +0000 UTC,100,0,12,11334,278,7,0.6699984981727768
2021-09-05 00:00:46.555 +0000 UTC,100,0,12,11409,280,7,0.6705121127124316
2021-09-05 00:00:46.767 +0000 UTC,100,0,12,11484,282,7,0.6744274161013546
2021-09-05 00:00:46.775 +0000 UTC,100,0,12,11539,282,7,0.6745756697096843
2021-09-05 00:00:46.995 +0000 UTC,100,0,12,11595,283,7,0.6786640029109691
2021-09-05 00:00:47.007 +0000 UTC,100,0,12,11651,284,7,0.6788877447953834
2021-09-05 00:00:47.215 +0000 UTC,100,0,12,11619,285,7,0.6827788034088725
2021-09-05 00:00:47.247 +0000 UTC,100,0,12,11588,286,7,0.6833794842548628
2021-09-05 00:00:47.435 +0000 UTC,100,0,12,11682,287,7,0.6869214637564359
2021-09-05 00:00:47.448 +0000 UTC,100,0,12,11777,288,7,0.6871676225682422
2021-09-05 00:00:47.655 +0000 UTC,100,0,12,11830,289,7,0.6911082258281633
2021-09-05 00:00:47.688 +0000 UTC,100,0,12,11883,291,7,0.6917378889413491
2021-09-05 00:00:47.875 +0000 UTC,100,0,12,11924,291,7,0.6953087182453502
2021-09-05 00:00:47.928 +0000 UTC,100,0,12,11966,292,7,0.6963238606971814
2021-09-05 00:00:48.095 +0000 UTC,100,0,12,12006,293,7,0.6995369147757327
2021-09-05 00:00:48.168 +0000 UTC,100,0,12,12047,295,7,0.7009569486011902
2021-09-05 00:00:48.315 +0000 UTC,56,50,12,11716,294,7,0.703847859666373
2021-09-05 00:00:48.408 +0000 UTC,12,100,8,11385,294,7,0.7055743311224734
2021-09-05 00:00:48.516 +0000 UTC,6,100,8,10685,269,7,0.7073930178458842
2021-09-05 00:00:48.648 +0000 UTC,0,100,8,9985,244,7,0.709406444507484
2021-09-05 00:00:48.736 +0000 UTC,0,100,8,9471,227,7,0.7106660688967956
2021-09-05 00:00:48.888 +0000 UTC,0,100,8,8958,210,7,0.7127045748798292
2021-09-05 00:00:48.956 +0000 UTC,0,100,8,9061,198,7,0.7135708689035806
2021-09-05 00:00:49.128 +0000 UTC,0,100,8,9164,186,7,0.7156257760667634
2021-09-05 00:00:49.175 +0000 UTC,0,100,8,9196,173,7,0.7161483827743991
2021-09-05 00:00:49.368 +0000 UTC,0,100,8,9228,161,7,0.7181543426855614
2021-09-05 00:00:49.395 +0000 UTC,0,100,8,9468,155,7,0.7184257800470526
2021-09-05 00:00:49.608 +0000 UTC,0,100,8,9709,149,4,0.7204944447116539
2021-09-05 00:00:49.615 +0000 UTC,0,100,8,9584,145,4,0.7205596410016766
2021-09-05 00:00:49.835 +0000 UTC,1,100,8,9460,141,4,0.7225315086043235
2021-09-05 00:00:49.848 +0000 UTC,2,100,8,9336,137,3,0.722646082145041
2021-09-05 00:00:50.055 +0000 UTC,4,50,8,9133,135,3,0.7244536790802274
2021-09-05 00:00:50.088 +0000 UTC,6,0,8,8930,133,3,0.7247348980475262
2021-09-05 00:00:50.275 +0000 UTC,12,0,8,9027,129,3,0.7262839713580148
2021-09-05 00:00:50.328 +0000 UTC,19,0,8,9124,126,3,0.7267137762709334
2021-09-05 00:00:50.495 +0000 UTC,23,0,8,8975,124,3,0.7280497605399426
2021-09-05 00:00:50.568 +0000 UTC,27,0,8,8827,122,3,0.7286298329634386
2021-09-05 00:00:50.715 +0000 UTC,37,0,8,8945,122,3,0.7297968260241923
2021-09-05 00:00:50.808 +0000 UTC,48,0,8,9064,122,3,0.7305458896559439
2021-09-05 00:00:50.935 +0000 UTC,54,0,8,9157,124,3,0.7315925807016215
2021-09-05 00:00:51.048 +0000 UTC,60,0,8,9250,127,3,0.7325404732620764
2021-09-05 00:00:51.155 +0000 UTC,33,50,8,8825,128,3,0.7334473554221288
2021-09-05 00:00:51.288 +0000 UTC,7,100,8,8400,129,3,0.7345664676336598
2021-09-05 00:00:51.375 +0000 UTC,6,50,8,8363,126,3,0.7352786361534756
2021-09-05 00:00:51.528 +0000 UTC,5,0,8,8327,123,3,0.7364982297088907
2021-09-05 00:00:51.595 +0000 UTC,4,0,8,8117,120,3,0.7370224123123783
2021-09-05 00:00:51.768 +0000 UTC,3,0,8,7907,118,3,0.7383514648704941
2021-09-05 00:00:51.815 +0000 UTC,6,0,8,7878,116,3,0.7387076488100903
2021-09-05 00:00:52.008 +0000 UTC,10,0,8,7849,114,3,0.7401418785011957
2021-09-05 00:00:52.035 +0000 UTC,9,0,8,7720,111,3,0.7403372036000887
2021-09-05 00:00:52.248 +0000 UTC,8,0,8,7591,108,3,0.7418380598355447
2021-09-05 00:00:52.255 +0000 UTC,14,0,8,7561,107,3,0.7418866844038595
2021-09-05 00:00:52.475 +0000 UTC,20,0,8,7531,106,3,0.7433986718300678
2021-09-05 00:00:52.488 +0000 UTC,26,0,8,7501,105,3,0.7434871250217173
2021-09-05 00:00:52.695 +0000 UTC,36,0,8,7706,104,3,0.7448920543254249
2021-09-05 00:00:52.727 +0000 UTC,47,0,8,7911,104,3,0.7451136791593168
2021-09-05 00:00:52.915 +0000 UTC,51,0,8,8122,106,3,0.7464506401894704
2021-09-05 00:00:52.967 +0000 UTC,55,0,8,8333,109,3,0.7468255658763913
2021-09-05 00:00:53.135 +0000 UTC,58,0,8,8486,111,3,0.7480445116896488
2021-09-05 00:00:53.247 +0000 UTC,61,0,8,8639,113,3,0.7488960588323634
2021-09-05 00:00:53.355 +0000 UTC,66,0,8,8977,119,3,0.7497648904334724
2021-09-05 00:00:53.487 +0000 UTC,71,0,8,9315,125,3,0.7508592316730451
2021-09-05 00:00:53.575 +0000 UTC,75,0,8,9607,126,3,0.7515859716374893
2021-09-05 00:00:53.727 +0000 UTC,80,0,8,9899,128,3,0.7528695206619032
2021-09-05 00:00:53.795 +0000 UTC,82,0,8,10050,134,3,0.7534756177884985
2021-09-05 00:00:53.968 +0000 UTC,84,0,8,10202,141,3,0.7550932065385432
2021-09-05 00:00:54.015 +0000 UTC,92,0,8,10740,146,3,0.7555447110415192
2021-09-05 00:00:54.208 +0000 UTC,100,0,8,11279,151,3,0.7574647193300866
2021-09-05 00:00:54.235 +0000 UTC,100,0,8,11790,158,3,0.7577454354901425
2021-09-05 00:00:54.448 +0000 UTC,100,0,8,12301,165,3,0.7600561074797864
2021-09-05 00:00:54.455 +0000 UTC,100,0,8,12014,168,3,0.7601340724495149
2021-09-05 00:00:54.675 +0000 UTC,100,0,8,11727,171,3,0.7626379926893655
2021-09-05 00:00:54.688 +0000 UTC,100,0,8,11440,174,4,0.7627888440740151
2021-09-05 00:00:54.895 +0000 UTC,100,0,8,11479,178,4,0.7652416779915351
2021-09-05 00:00:54.928 +0000 UTC,100,0,8,11519,182,4,0.7656472237300476
2021-09-05 00:00:55.096 +0000 UTC,100,0,8,11766,188,4,0.7677814540705291
2021-09-05 00:00:55.168 +0000 UTC,100,0,8,12014,195,4,0.768709773361511
2021-09-05 00:00:55.316 +0000 UTC,100,0,8,11536,197,4,0.770619637886596
2021-09-05 00:00:55.408 +0000 UTC,100,0,8,11058,199,5,0.7718351445238761
2021-09-05 00:00:55.536 +0000 UTC,100,0,8,11272,205,5,0.7735868481182299
2021-09-05 00:00:55.648 +0000 UTC,100,0,8,11487,211,5,0.7751489802789467
2021-09-05 00:00:55.755 +0000 UTC,100,0,8,11746,213,5,0.7766450364490753
2021-09-05 00:00:55.888 +0000 UTC,100,0,8,12005,215,5,0.7785256375649192
2021-09-05 00:00:55.975 +0000 UTC,100,0,8,12131,219,5,0.7797799632309823
2021-09-05 00:00:56.128 +0000 UTC,100,0,8,12258,223,5,0.7820279379126952
2021-09-05 00:00:56.195 +0000 UTC,100,0,8,11863,226,5,0.7830265787556043
2021-09-05 00:00:56.368 +0000 UTC,100,0,8,11468,230,5,0.7856401759395495
2021-09-05 00:00:56.415 +0000 UTC,100,0,8,11223,232,5,0.786356996511044
2021-09-05 00:00:56.608 +0000 UTC,100,0,8,10978,235,6,0.7893309408800311
2021-09-05 00:00:56.635 +0000 UTC,100,0,8,11137,237,6,0.7897511492963933
2021-09-05 00:00:56.848 +0000 UTC,100,0,8,11296,240,6,0.7931002327341399
2021-09-05 00:00:56.855 +0000 UTC,100,0,8,11388,241,6,0.7932111882930412
2021-09-05 00:00:57.075 +0000 UTC,100,0,8,11481,242,6,0.7967235985157168
2021-09-05 00:00:57.088 +0000 UTC,100,0,8,11574,244,6,0.7969323461191504
2021-09-05 00:00:57.295 +0000 UTC,100,0,8,11565,245,6,0.8002742466906883
2021-09-05 00:00:57.328 +0000 UTC,100,0,8,11556,247,6,0.8008115756523373
2021-09-05 00:00:57.515 +0000 UTC,78,50,8,11395,247,6,0.8038663027867723
2021-09-05 00:00:57.568 +0000 UTC,57,100,8,11234,248,6,0.8047065105682497
2021-09-05 00:00:57.735 +0000 UTC,41,100,8,10849,238,6,0.807235863070633
2021-09-05 00:00:57.848 +0000 UTC,26,100,8,10464,229,6,0.8089024653197333
2021-09-05 00:00:57.955 +0000 UTC,24,100,8,10801,226,6,0.8104787594425142
2021-09-05 00:00:58.088 +0000 UTC,23,100,8,11139,223,6,0.8124047656675093
2021-09-05 00:00:58.175 +0000 UTC,25,50,8,11012,216,6,0.8136223713726902
2021-09-05 00:00:58.328 +0000 UTC,28,0,8,10886,209,5,0.815687190657129
2021-09-05 00:00:58.395 +0000 UTC,37,0,8,10795,203,5,0.816563647432682
2021-09-05 00:00:58.568 +0000 UTC,47,0,8,10704,197,5,0.8187811510540435
2021-09-05 00:00:58.615 +0000 UTC,57,0,8,10748,197,5,0.8193855815190146
2021-09-05 00:00:58.808 +0000 UTC,68,0,8,10793,197,5,0.8218751114509578
2021-09-05 00:00:58.835 +0000 UTC,72,0,8,10794,196,5,0.8222222447264291
2021-09-05 00:00:59.048 +0000 UTC,76,0,8,10796,196,5,0.8249533664651466
2021-09-05 00:00:59.055 +0000 UTC,81,0,8,10869,196,5,0.8250432640340272
2021-09-05 00:00:59.275 +0000 UTC,86,0,8,10942,196,5,0.8278789431584006
2021-09-05 00:00:59.288 +0000 UTC,91,0,8,11015,197,5,0.828047326862061
2021-09-05 00:00:59.495 +0000 UTC,95,0,8,11241,198,5,0.8307498153942934
2021-09-05 00:00:59.527 +0000 UTC,100,0,8,11468,200,5,0.8311753155882138
2021-09-05 00:00:59.715 +0000 UTC,100,0,8,11476,204,5,0.8337258289815661
2021-09-05 00:00:59.767 +0000 UTC,100,0,8,11485,208,5,0.8344420351951081
2021-09-05 00:00:59.935 +0000 UTC,100,0,8,11730,211,5,0.8367816933985912
2021-09-05 00:01:00.007 +0000 UTC,100,0,8,11976,214,5,0.8378029870983551
2021-09-05 00:01:00.155 +0000 UTC,100,0,8,12044,218,5,0.8399440547923326
2021-09-05 00:01:00.247 +0000 UTC,100,0,8,12113,222,5,0.8412895820634058
2021-09-05 00:01:00.375 +0000 UTC,100,0,8,12251,223,5,0.8431678312975044
2021-09-05 00:01:00.487 +0000 UTC,100,0,8,12390,225,5,0.8448232931766326
2021-09-05 00:01:00.595 +0000 UTC,100,0,8,12250,227,5,0.8464349862675717
2021-09-05 00:01:00.688 +0000 UTC,100,0,8,12110,229,6,0.8478353892660905
2021-09-05 00:01:00.815 +0000 UTC,100,0,8,11647,231,6,0.8497671609623666
2021-09-05 00:01:00.928 +0000 UTC,100,0,8,11184,234,6,0.8515104488238465
2021-09-05 00:01:01.035 +0000 UTC,100,0,8,11309,237,6,0.8531867911891998
2021-09-05 00:01:01.168 +0000 UTC,100,0,8,11434,241,6,0.8552954460606808
2021-09-05 00:01:01.255 +0000 UTC,100,0,8,11521,243,6,0.8566827023881709
2021-09-05 00:01:01.408 +0000 UTC,100,0,8,11609,245,6,0.8591432648284167
2021-09-05 00:01:01.475 +0000 UTC,100,0,8,11662,247,6,0.8602325981423078
2021-09-05 00:01:01.648 +0000 UTC,100,0,8,11716,250,6,0.86306961050978
2021-09-05 00:01:01.676 +0000 UTC,100,0,8,11824,251,6,0.8635299046176861
2021-09-05 00:01:01.888 +0000 UTC,100,0,8,11932,252,6,0.8670273669565943
2021-09-05 00:01:01.896 +0000 UTC,100,0,8,11745,253,6,0.8671600932425607
2021-09-05 00:01:02.116 +0000 UTC,100,0,8,11558,254,6,0.8708312179219394
2021-09-05 00:01:02.128 +0000 UTC,100,0,8,11372,255,6,0.8710322395515849
2021-09-05 00:01:02.335 +0000 UTC,100,0,8,11016,256,6,0.874511009757878
2021-09-05 00:01:02.368 +0000 UTC,100,0,8,10660,257,7,0.8750685229120263
2021-09-05 00:01:02.555 +0000 UTC,100,0,8,10659,258,7,0.8782457021588446
2021-09-05 00:01:02.608 +0000 UTC,100,0,8,10658,260,7,0.8791519224206441
2021-09-05 00:01:02.775 +0000 UTC,100,0,8,10684,261,7,0.8820233837883379
2021-09-05 00:01:02.848 +0000 UTC,100,0,8,10710,263,7,0.8832824380774383
2021-09-05 00:01:02.995 +0000 UTC,100,0,8,10760,263,7,0.8858206064747132
2021-09-05 00:01:03.088 +0000 UTC,100,0,8,10811,264,7,0.8874286591169579
2021-09-05 00:01:03.215 +0000 UTC,100,0,8,10829,264,7,0.8896277295438465
2021-09-05 00:01:03.328 +0000 UTC,100,0,8,10847,265,7,0.891590585539203
2021-09-05 00:01:03.435 +0000 UTC,100,0,8,10883,266,7,0.8934570501949524
2021-09-05 00:01:03.568 +0000 UTC,100,0,8,10920,267,7,0.8957839227268991
2021-09-05 00:01:03.655 +0000 UTC,100,0,8,10953,267,7,0.8973074094465769
2021-09-05 00:01:03.808 +0000 UTC,100,0,8,10986,268,7,0.8999929652973205
2021-09-05 00:01:03.875 +0000 UTC,100,0,8,10992,269,7,0.9011736868214715
2021-09-05 00:01:04.048 +0000 UTC,100,0,8,10998,270,7,0.9042334186331928
2021-09-05 00:01:04.095 +0000 UTC,100,0,8,11047,270,7,0.9050663317418471
2021-09-05 00:01:04.288 +0000 UTC,100,0,8,11097,271,7,0.9084895773517909
2021-09-05 00:01:04.315 +0000 UTC,100,0,8,11118,271,7,0.9089679568552026
2021-09-05 00:01:04.528 +0000 UTC,100,0,8,11140,271,7,0.9127457360703886
2021-09-05 00:01:04.535 +0000 UTC,100,0,8,11153,272,7,0.9128705737767103
2021-09-05 00:01:04.755 +0000 UTC,100,0,8,11166,273,7,0.9168156002533633
2021-09-05 00:01:04.768 +0000 UTC,100,0,8,11180,274,7,0.9170490109371627
2021-09-05 00:01:04.975 +0000 UTC,100,0,8,11256,274,7,0.9207699315500256
2021-09-05 00:01:05.008 +0000 UTC,100,0,14,11333,275,7,0.9213679911866625
2021-09-05 00:01:05.195 +0000 UTC,100,0,14,11362,277,7,0.9247903875907604
2021-09-05 00:01:05.248 +0000 UTC,100,0,12,11392,280,7,0.9257654983497893
2021-09-05 00:01:05.415 +0000 UTC,100,0,12,11452,281,7,0.9288445169066754
2021-09-05 00:01:05.488 +0000 UTC,100,0,12,11512,282,7,0.930194416278367
2021-09-05 00:01:05.635 +0000 UTC,100,0,12,11565,283,7,0.9329211783647441
2021-09-05 00:01:05.728 +0000 UTC,100,0,12,11618,284,7,0.9346547449723959
2021-09-05 00:01:05.855 +0000 UTC,100,0,12,11669,285,7,0.9370350115394577
2021-09-05 00:01:05.968 +0000 UTC,100,0,12,11721,287,7,0.9391621898146008
2021-09-05 00:01:06.075 +0000 UTC,100,0,12,11729,288,7,0.9411819439157165
2021-09-05 00:01:06.207 +0000 UTC,100,0,12,11738,289,7,0.9436821335238916
2021-09-05 00:01:06.295 +0000 UTC,100,0,12,11405,290,7,0.9453549772605268
2021-09-05 00:01:06.447 +0000 UTC,100,0,12,11072,291,7,0.9482523998969984
2021-09-05 00:01:06.515 +0000 UTC,100,0,12,10840,291,7,0.9495498213665414
2021-09-05 00:01:06.687 +0000 UTC,100,0,12,10609,292,8,0.9528383716528307
2021-09-05 00:01:06.735 +0000 UTC,100,0,12,10603,293,8,0.9537594762497107
2021-09-05 00:01:06.927 +0000 UTC,100,0,12,10597,294,8,0.9574557541741141
2021-09-05 00:01:06.955 +0000 UTC,100,0,12,10628,294,8,0.9579954823124781
2021-09-05 00:01:07.128 +0000 UTC,100,0,12,10659,295,8,0.9613359652937212
2021-09-05 00:01:07.175 +0000 UTC,100,0,12,10681,296,8,0.9622469204526137
2021-09-05 00:01:07.368 +0000 UTC,100,0,12,10703,297,8,0.9660004639631812
2021-09-05 00:01:07.395 +0000 UTC,100,0,12,10718,297,8,0.9665261753683315
2021-09-05 00:01:07.608 +0000 UTC,100,0,12,10734,298,8,0.970680668015366
2021-09-05 00:01:07.615 +0000 UTC,100,0,12,10749,298,8,0.970817636904688
2021-09-05 00:01:07.835 +0000 UTC,100,0,12,10764,299,8,0.9751365849252392
2021-09-05 00:01:07.848 +0000 UTC,100,0,12,10780,300,8,0.975392282833002
2021-09-05 00:01:08.055 +0000 UTC,100,0,12,10803,300,8,0.9794686751702382
2021-09-05 00:01:08.088 +0000 UTC,100,0,12,10826,301,8,0.9801196030333637
2021-09-05 00:01:08.256 +0000 UTC,100,0,12,10852,301,8,0.9834382867155375
2021-09-05 00:01:08.328 +0000 UTC,100,0,12,10879,302,8,0.9848626286164505
2021-09-05 00:01:08.476 +0000 UTC,100,0,12,10906,302,8,0.9877939457920685
2021-09-05 00:01:08.568 +0000 UTC,100,0,12,10933,303,8,0.9896213595822627
2021-09-05 00:01:08.696 +0000 UTC,100,0,12,10933,304,8,0.992173106890772
2021-09-05 00:01:08.848 +0000 UTC,100,0,12,10934,305,8,0.9952098582687366
2021-09-05 00:01:08.915 +0000 UTC,100,0,12,10912,305,8,0.9965476955999861
2021-09-05 00:01:08.923 +0000 UTC,100,0,12,10901,305,8,0.9967074028344297
