HTime,HThrottle,HBrake,HDRS,HRPM,HSpeed,HnGear,HLapPercentage
2021-09-05 00:00:07.887 +0000 UTC,100,0,8,11291,200,5,0.11311625222452028
2021-09-05 00:00:07.955 +0000 UTC,100,0,8,11290,203,5,0.11402647364831531
2021-09-05 00:00:08.088 +0000 UTC,100,0,8,11289,207,5,0.11583897663726166
2021-09-05 00:00:08.175 +0000 UTC,100,0,8,11473,211,5,0.1170466806064096
2021-09-05 00:00:08.328 +0000 UTC,100,0,8,11657,215,5,0.11921563392323412
2021-09-05 00:00:08.395 +0000 UTC,100,0,8,11852,219,5,0.12018516515326924
2021-09-05 00:00:08.568 +0000 UTC,100,0,8,12047,224,5,0.12273363965373564
2021-09-05 00:00:08.615 +0000 UTC,100,0,8,11417,226,5,0.12343272390459768
2021-09-05 00:00:08.808 +0000 UTC,100,0,8,10787,229,5,0.1263301722978644
2021-09-05 00:00:08.835 +0000 UTC,100,0,8,10844,230,5,0.1267387413480191
2021-09-05 00:00:09.036 +0000 UTC,100,0,8,10901,231,5,0.1298050614043365
2021-09-05 00:00:09.048 +0000 UTC,100,0,8,10958,233,6,0.129989526472895
2021-09-05 00:00:09.256 +0000 UTC,100,0,8,11044,235,6,0.13321184346468556
2021-09-05 00:00:09.288 +0000 UTC,100,0,8,11131,237,6,0.1337117021788274
2021-09-05 00:00:09.476 +0000 UTC,100,0,8,11222,239,6,0.1366707744532897
2021-09-05 00:00:09.528 +0000 UTC,100,0,8,11313,241,6,0.13749669941566167
2021-09-05 00:00:09.695 +0000 UTC,100,0,8,11339,243,6,0.1401709007466185
2021-09-05 00:00:09.768 +0000 UTC,100,0,8,11366,245,6,0.14134451818339772
2021-09-05 00:00:09.915 +0000 UTC,100,0,8,11437,245,6,0.14370984620528918
2021-09-05 00:00:10.008 +0000 UTC,100,0,8,11508,246,6,0.1452080423338592
2021-09-05 00:00:10.135 +0000 UTC,82,50,8,11345,245,6,0.14725639737172821
2021-09-05 00:00:10.248 +0000 UTC,64,100,8,11182,245,6,0.14905586110159524
2021-09-05 00:00:10.355 +0000 UTC,42,100,8,10971,239,6,0.15071986927254286
2021-09-05 00:00:10.488 +0000 UTC,21,100,8,10761,234,6,0.15273092065935132
2021-09-05 00:00:10.575 +0000 UTC,21,100,8,10424,227,6,0.1540097506130776
2021-09-05 00:00:10.728 +0000 UTC,22,100,8,10087,220,6,0.156186104858951
2021-09-05 00:00:10.795 +0000 UTC,22,100,8,10513,213,6,0.1571086697195493
2021-09-05 00:00:10.968 +0000 UTC,22,100,8,10939,206,6,0.15942141370039437
2021-09-05 00:00:11.015 +0000 UTC,34,50,8,10904,202,6,0.16003936600825022
2021-09-05 00:00:11.208 +0000 UTC,46,0,8,10869,199,5,0.16254678486275956
2021-09-05 00:00:11.235 +0000 UTC,52,0,8,10829,198,5,0.16289656095345595
2021-09-05 00:00:11.448 +0000 UTC,59,0,8,10789,198,5,0.1656564506423993
2021-09-05 00:00:11.455 +0000 UTC,63,0,8,10866,198,5,0.16574737197263453
2021-09-05 00:00:11.675 +0000 UTC,68,0,8,10943,198,5,0.1686123748023698
2021-09-05 00:00:11.688 +0000 UTC,73,0,8,11020,199,5,0.1687818218047645
2021-09-05 00:00:11.895 +0000 UTC,78,0,8,11053,199,5,0.17148668784406865
2021-09-05 00:00:11.928 +0000 UTC,83,0,8,11086,200,5,0.17192289834985514
2021-09-05 00:00:12.115 +0000 UTC,72,50,8,10898,201,5,0.1744131501330973
2021-09-05 00:00:12.168 +0000 UTC,62,100,8,10711,202,5,0.1750953856603967
2021-09-05 00:00:12.335 +0000 UTC,32,100,8,10298,193,5,0.17713278017914433
2021-09-05 00:00:12.408 +0000 UTC,2,100,8,9886,184,5,0.1779851760818801
2021-09-05 00:00:12.555 +0000 UTC,2,100,8,10070,177,5,0.17964894958005542
2021-09-05 00:00:12.647 +0000 UTC,3,100,8,10254,171,4,0.1806596064427407
2021-09-05 00:00:12.775 +0000 UTC,2,50,8,10656,166,4,0.1820313014031152
2021-09-05 00:00:12.887 +0000 UTC,2,0,8,11059,162,3,0.1832038784442641
2021-09-05 00:00:12.995 +0000 UTC,2,0,8,10864,158,3,0.1843142166007325
2021-09-05 00:00:13.127 +0000 UTC,2,0,8,10669,155,3,0.1856382127667094
2021-09-05 00:00:13.215 +0000 UTC,3,0,8,10407,151,3,0.18649634577658264
2021-09-05 00:00:13.367 +0000 UTC,5,0,8,10145,147,3,0.18794690402735098
2021-09-05 00:00:13.435 +0000 UTC,11,0,8,9946,145,3,0.1885915820163476
2021-09-05 00:00:13.607 +0000 UTC,17,0,8,9747,143,3,0.1901927737570908
2021-09-05 00:00:13.655 +0000 UTC,19,0,8,9642,138,3,0.1906240014005709
2021-09-05 00:00:13.847 +0000 UTC,22,0,8,9537,134,3,0.19229729504230153
2021-09-05 00:00:13.875 +0000 UTC,32,0,8,9397,133,3,0.1925394599084786
2021-09-05 00:00:14.087 +0000 UTC,43,0,8,9258,132,3,0.19437040556206137
2021-09-05 00:00:14.095 +0000 UTC,46,0,8,9313,132,3,0.19443965044414754
2021-09-05 00:00:14.315 +0000 UTC,50,0,8,9369,132,3,0.19635384944985373
2021-09-05 00:00:14.327 +0000 UTC,54,0,8,9425,133,3,0.19645922146454664
2021-09-05 00:00:14.528 +0000 UTC,62,0,8,10013,136,3,0.19824806455697574
2021-09-05 00:00:14.535 +0000 UTC,65,0,8,10091,138,3,0.19831163338270347
2021-09-05 00:00:14.755 +0000 UTC,68,0,8,10169,140,3,0.2003553896035731
2021-09-05 00:00:14.768 +0000 UTC,71,0,8,10248,142,3,0.2004782289039901
2021-09-05 00:00:14.975 +0000 UTC,74,0,8,10542,144,3,0.20246347499368478
2021-09-05 00:00:15.008 +0000 UTC,77,0,8,10836,147,3,0.20278692016463173
2021-09-05 00:00:15.195 +0000 UTC,78,0,8,10958,150,3,0.2046563213179997
2021-09-05 00:00:15.248 +0000 UTC,79,0,8,11081,153,3,0.20518984372162608
2021-09-05 00:00:15.415 +0000 UTC,86,0,8,11366,154,3,0.20687254032929023
2021-09-05 00:00:15.488 +0000 UTC,93,0,8,11651,155,3,0.20762417804407135
2021-09-05 00:00:15.616 +0000 UTC,96,0,8,11772,160,3,0.20897970354415887
2021-09-05 00:00:15.728 +0000 UTC,100,0,8,11894,165,3,0.21021556619377113
2021-09-05 00:00:15.836 +0000 UTC,100,0,8,12076,172,3,0.21145952044415753
2021-09-05 00:00:15.968 +0000 UTC,100,0,8,12258,179,3,0.21302682970162726
2021-09-05 00:00:16.056 +0000 UTC,100,0,8,12102,182,3,0.2140838535470826
2021-09-05 00:00:16.208 +0000 UTC,100,0,8,11947,186,4,0.21594803088856157
2021-09-05 00:00:16.275 +0000 UTC,100,0,8,12113,191,4,0.2167944330220692
2021-09-05 00:00:16.448 +0000 UTC,100,0,8,12280,196,4,0.2190262859027504
2021-09-05 00:00:16.495 +0000 UTC,100,0,8,12165,197,4,0.219633801183033
2021-09-05 00:00:16.688 +0000 UTC,100,0,8,12050,199,4,0.22215165706511558
2021-09-05 00:00:16.715 +0000 UTC,100,0,8,11582,204,4,0.22251239474022866
2021-09-05 00:00:16.928 +0000 UTC,100,0,8,11115,209,5,0.2254340820547353
2021-09-05 00:00:16.935 +0000 UTC,100,0,8,11316,211,5,0.2255319297273887
2021-09-05 00:00:17.155 +0000 UTC,100,0,8,11517,214,5,0.2286554873773133
2021-09-05 00:00:17.168 +0000 UTC,100,0,8,11719,217,5,0.2288421501061587
2021-09-05 00:00:17.375 +0000 UTC,100,0,8,11881,219,5,0.23184324679579082
2021-09-05 00:00:17.408 +0000 UTC,100,0,8,12043,222,5,0.2323287450712093
2021-09-05 00:00:17.595 +0000 UTC,100,0,8,11929,225,5,0.23512065869278548
2021-09-05 00:00:17.688 +0000 UTC,100,0,8,11815,229,5,0.2365246998226929
2021-09-05 00:00:17.815 +0000 UTC,100,0,8,11586,231,5,0.23845154137838423
2021-09-05 00:00:17.928 +0000 UTC,100,0,8,11358,233,6,0.24018405399772347
2021-09-05 00:00:18.035 +0000 UTC,100,0,8,11305,236,6,0.24184715879465224
2021-09-05 00:00:18.168 +0000 UTC,100,0,8,11252,239,6,0.2439376404691068
2021-09-05 00:00:18.255 +0000 UTC,100,0,8,11316,241,6,0.2453137078157192
2021-09-05 00:00:18.408 +0000 UTC,100,0,8,11380,243,6,0.24775404847139187
2021-09-05 00:00:18.475 +0000 UTC,100,0,8,11504,245,6,0.24883317673959118
2021-09-05 00:00:18.688 +0000 UTC,100,0,8,11629,248,6,0.25229813920662303
2021-09-05 00:00:18.695 +0000 UTC,100,0,8,11678,249,6,0.25241251346849786
2021-09-05 00:00:18.915 +0000 UTC,100,0,8,11727,250,6,0.2560250856316242
2021-09-05 00:00:18.928 +0000 UTC,100,0,8,11777,251,6,0.25624019027071177
2021-09-05 00:00:19.135 +0000 UTC,100,0,8,11685,253,6,0.25969157624319605
2021-09-05 00:00:19.167 +0000 UTC,100,0,8,11593,255,6,0.26022837589655656
2021-09-05 00:00:19.355 +0000 UTC,100,0,8,11048,256,6,0.2633974379633499
2021-09-05 00:00:19.407 +0000 UTC,100,0,8,10503,258,7,0.2642803646397235
2021-09-05 00:00:19.575 +0000 UTC,100,0,8,10588,260,7,0.2671544318572158
2021-09-05 00:00:19.647 +0000 UTC,100,0,8,10674,262,7,0.2683951749137923
2021-09-05 00:00:19.795 +0000 UTC,100,0,8,10715,263,7,0.27096076469217095
2021-09-05 00:00:19.887 +0000 UTC,100,0,8,10756,265,7,0.27255710133603733
2021-09-05 00:00:20.015 +0000 UTC,100,0,8,10794,265,7,0.27477212682204966
2021-09-05 00:00:20.127 +0000 UTC,100,0,8,10832,265,7,0.27671902775828244
2021-09-05 00:00:20.235 +0000 UTC,100,0,8,10883,267,7,0.2786154503806142
2021-09-05 00:00:20.367 +0000 UTC,100,0,8,10935,269,7,0.28094377571142937
2021-09-05 00:00:20.455 +0000 UTC,100,0,8,10971,269,7,0.28249154535944093
2021-09-05 00:00:20.607 +0000 UTC,100,0,8,11007,269,7,0.2851685236645763
2021-09-05 00:00:20.675 +0000 UTC,100,0,8,11032,270,7,0.2863748170810666
2021-09-05 00:00:20.847 +0000 UTC,100,0,8,11057,272,7,0.28944038776589953
2021-09-05 00:00:20.895 +0000 UTC,100,0,8,11088,272,7,0.2902950171037392
2021-09-05 00:00:21.048 +0000 UTC,100,0,8,11119,272,7,0.2930180739507578
2021-09-05 00:00:21.115 +0000 UTC,100,0,8,11113,272,7,0.294212683412196
2021-09-05 00:00:21.328 +0000 UTC,100,0,8,11107,273,7,0.29802023834881464
2021-09-05 00:00:21.335 +0000 UTC,100,0,8,11120,273,7,0.2981455950742753
2021-09-05 00:00:21.555 +0000 UTC,100,0,8,11133,273,7,0.302090429758984
2021-09-05 00:00:21.568 +0000 UTC,100,0,8,11147,274,7,0.3023235132155888
2021-09-05 00:00:21.775 +0000 UTC,100,0,8,11180,274,7,0.30603419442966734
2021-09-05 00:00:21.808 +0000 UTC,100,0,8,11213,274,7,0.306626788082363
2021-09-05 00:00:21.995 +0000 UTC,100,0,8,11197,274,7,0.3099919723926747
2021-09-05 00:00:22.048 +0000 UTC,100,0,8,11181,275,7,0.31094576833186266
2021-09-05 00:00:22.196 +0000 UTC,100,0,8,11206,275,7,0.31360670711083494
2021-09-05 00:00:22.288 +0000 UTC,100,0,8,11231,275,7,0.3152647485813623
2021-09-05 00:00:22.416 +0000 UTC,100,0,8,11220,276,7,0.31758184084666086
2021-09-05 00:00:22.528 +0000 UTC,100,0,8,11209,277,7,0.3196151395963129
2021-09-05 00:00:22.636 +0000 UTC,100,0,8,11239,277,7,0.32157788743870835
2021-09-05 00:00:22.768 +0000 UTC,100,0,8,11270,278,7,0.32398123599398887
2021-09-05 00:00:22.855 +0000 UTC,100,0,8,11282,278,7,0.3255691039871979
2021-09-05 00:00:23.008 +0000 UTC,100,0,8,11294,279,7,0.32836303777439035
2021-09-05 00:00:23.075 +0000 UTC,100,0,8,11282,278,7,0.32958359009317845
2021-09-05 00:00:23.288 +0000 UTC,100,0,8,11270,278,7,0.33345681690501233
2021-09-05 00:00:23.295 +0000 UTC,100,0,8,11275,278,7,0.33358416592371265
2021-09-05 00:00:23.515 +0000 UTC,100,0,8,11280,278,7,0.33758685852806164
2021-09-05 00:00:23.528 +0000 UTC,100,0,8,11285,278,7,0.3378229133026884
2021-09-05 00:00:23.735 +0000 UTC,100,0,8,11294,277,7,0.341574484228479
2021-09-05 00:00:23.768 +0000 UTC,100,0,8,11304,277,7,0.34217330431763887
2021-09-05 00:00:23.955 +0000 UTC,100,0,8,11309,277,7,0.34557472794721766
2021-09-05 00:00:24.008 +0000 UTC,100,0,8,11315,278,7,0.3465394007153149
2021-09-05 00:00:24.175 +0000 UTC,100,0,8,11327,278,7,0.34957779136012224
2021-09-05 00:00:24.248 +0000 UTC,100,0,8,11340,278,7,0.3509054971129909
2021-09-05 00:00:24.395 +0000 UTC,100,0,8,11334,278,7,0.35357851950259206
2021-09-05 00:00:24.488 +0000 UTC,100,0,8,11329,278,7,0.35527159351066695
2021-09-05 00:00:24.615 +0000 UTC,100,0,8,11329,278,7,0.35758822096566667
2021-09-05 00:00:24.728 +0000 UTC,100,0,8,11329,279,7,0.3596533952910684
2021-09-05 00:00:24.835 +0000 UTC,100,0,8,11366,279,7,0.36161188798996735
2021-09-05 00:00:24.968 +0000 UTC,100,0,8,11404,280,7,0.36405090245419525
2021-09-05 00:00:25.055 +0000 UTC,100,0,8,11434,280,7,0.36564952799041806
